content_groups,title,watchers_prev_mtd,watchers_this_mtd,plays_prev_mtd,plays_this_mtd,duration_prev_mtd,duration_this_mtd,rn1,rn2
Films, Love in the Moonlight,4372,1159,12026,3187,193643.26666666666,54261.066666666666,173,32
Films,Reply 1988,4329,3415,13080,8866,285853.93333333335,199076.5,62,33
Films,Symphony's Romance,4241,2452,6999,5456,81290.25,83743.733333333337,82,34
Films,Lawless Lawyer,4170,2945,11409,9343,218589.35,180973,68,36
Films,Gank Your Heart,4044,8496,16726,25121,261138.61666666667,302254,16,37
Films,Goblin,4042,3994,13679,15637,294626.53333333333,368915.66666666669,46,38
Films,Sweet Munchies,3995,1230,7316,2851,105205.75,42573.26666666667,161,39
Films,Gundala,3916,3626,7158,6944,176113.65,157179.85,56,40
Films,Nonton Terus Sinetron Jodoh Pengantar Jenazah Setiap Malam Jam 22.00 WIB di ANTV,3872,1743,4771,2058,1107,340,117,41
Films,5 CM,3646,3776,6467,6506,231920.7,213421.7,53,43
Films,Descendants of the Sun (Dubbing Bahasa Indonesia),3579,4526,26728,32801,451671.15,564700.15,42,44
Films,Jodha Akbar,3538,2532,47019,33342,704848.76666666672,521775.16666666669,80,45
Films,We Bare Bears,3496,3882,13639,16024,191841,200790.75,50,46
Films,Cari Konten Dapat Jodoh,3487,1508,5527,2223,4008.25,1499.0333333333333,135,47
Films,Kala Senja Di Jakarta,3285,1347,4964,2051,29042.216666666667,12241.016666666666,151,48
Films,The Guys,3099,2080,5375,3434,190767.76666666666,115841.98333333334,97,49
Films,True Beauty | Teaser Episode 1,3086,1526,3661,1909,1917.5166666666667,775.5333333333333,134,50
Films,Legend of the Blue Sea,3020,5106,10076,15221,170756,247621,34,51
Films,Klarifikasi Fizi Minta Maaf Pada Upin dan Ipin,2960,2243,3523,2806,3063.75,2131.75,92,52
Films,The Last Princess,2928,1423,5151,2134,164897.38333333333,73298.433333333334,141,53
Films,The Beauty Inside ,2917,1274,8673,4592,139938.15,77927.5,155,54
Films,Oh My Venus,2873,1027,10827,3950,202042.31666666668,78521.05,207,55
Films,The Himalayas,2816,1639,4209,2227,105831.25,52603,123,56
Films,Sweet 20,2809,1145,4431,1746,131565.18333333332,52842.75,174,57
Films,Full House,2760,3461,9253,10310,150384,169064.5,60,58
Films,Awaken,2757,3224,7874,8832,158641.76666666666,162282.2,65,59
Films,SLANK Nggak Ada Matinya,2715,3453,4300,5619,100784.75,133719.25,61,60
Films,While You Were Sleeping,2624,2160,7919,6693,134866.5,113510.25,93,61
Films,More Than Friends,2486,3996,7444,9153,149689.71666666667,138747.91666666666,45,62
Films,Nikah Muda,2454,1957,5388,4337,36839.416666666664,29235.033333333333,103,63
Films,Secret Affairs,2435,2370,7729,7691,125882,120539.6,85,64
Films,The Raid 2: Berandal,2356,2296,3892,3945,102019.5,116464.25,87,65
Films,The Last Empress,2303,1796,8433,8558,134068.81666666668,164418.33333333334,111,67
Films,Feather Flies to the Sky,2231,1139,6488,4544,136034.91666666666,97141.5,178,68
Films,What's Wrong with Secretary Kim,2187,16682,11066,114541,230367.25,2560640.3333333335,7,69
Films,Train to Busan,2172,4840,3274,7232,66343.7,109312,37,70
Films,My ID is Gangnam Beauty,2154,3491,7498,12402,149071.48333333334,249089.48333333334,59,71
Films,The Inheritors,2143,15552,8953,99779,191147.75,2284655.0833333335,9,72
Films,The K2,2123,1613,9775,8335,219594.5,199768.25,125,73
Films,Pinocchio,2063,2597,8299,9200,173500.75,198388.75,78,74
Films,Love Is Not For Sale,2018,2599,3930,5414,41974,66755.75,77,75
Films,Welcome to Waikiki 2,2016,1185,6078,2914,114735.06666666667,45268.85,166,76
Films,Legend of the Blue Sea (Dubbing Indonesia),1999,3695,6641,13423,92095.3,219665.5,55,77
Films,Barney & Friends,1999,1860,2834,2609,26188.716666666667,21981.65,108,78
Films,4 Different Houses,1968,2271,3323,3823,27745.25,29995.2,91,79
Films,Hwarang,1962,1911,7073,6912,120111.45,127231,106,80
Films,The Virus,1899,8281,4073,15397,61741.783333333333,222750.88333333333,17,81
Films,Haebangchon,1893,1041,2328,1298,27813.25,12295,203,82
Films,Zombie Detective,1889,1571,7181,4838,106582.96666666666,64004.783333333333,129,83
Films,"Welcome | Full Movie | Akshay Kumar, Katrina Kaif, Anil Kapoor, Nana Patekar | HD | Subtitle In Indonesian",1887,2426,3316,4357,45765.5,62857.5,84,84
Films,Sinetron Jodoh Wasiat Bapak.  Eps 109 Karma Pemilik Panti Asuhan Serakah.  Tayang Jumat 28 Juli 2017 jam 19.00 WIB  di ANTV. Wilbert sebagai Wawan. Tayang setiap malam pukul 19.00 & 23.00 WIB di ANTV.,1881,990,2103,1081,939.75,387.5,219,85
Films,18+: True Love Never Dies,1788,2995,2362,3889,30284,43062.25,67,86
Films,HBO - Sex Tape,1772,549,1950,631,480,158,365,87
Films,The Flu,1764,2898,3066,5118,109723.25,147750.76666666666,69,88
Films,The Master's Sun,1720,793,5862,2890,97470.25,60177.5,259,90
Films,Sunflower,1717,601,2096,769,24827.75,7330.75,339,91
Films,Boys Over Flowers,1634,2286,7017,9220,129790.7,181756.28333333333,88,92
Films,Prison Playbook,1614,2696,2931,8391,61216.416666666664,231412.93333333332,75,93
Films,Dongeng Kita,1609,956,3729,2374,34552.51666666667,13998,226,94
Films,The World of the Married (Dubbing Bahasa),1606,1013,4866,2903,81124.816666666666,48560.95,212,95
Films,War,1595,1141,2522,1856,73647.416666666672,53066.083333333336,177,96
Films,Strong Girl Bong-soon,1589,9402,6770,65674,148728.25,1535175.9166666667,13,97
Films,Pendekar Tongkat Emas,1572,1224,2631,2121,60936.25,50494.25,164,99
Films,Doctor Stranger,1555,2447,5794,10615,105683.15,210728.48333333334,83,101
Films,Secretary,1535,2785,2131,3726,37083.5,56786.25,72,104
Films,Serigala Terakhir,1522,2285,2668,3859,74416.25,105476.25,89,105
Films,Gagal Nikah The Series,1512,2128,2564,3802,16905,21426.883333333335,94,107
Films,American Pie,1484,2554,2112,3587,32790.75,52497.25,79,109
Films,Flower of Evil,1476,3272,4847,8832,90858.5,164044.15,63,110
Films,LIBURAN YANG HOT - MAJIKAN MASA GITU THE SERIES EPS 9,1448,2116,1710,2521,4997.75,7302.416666666667,95,113
Films,24hrs in Wuhan - Quarantine,1362,2074,1518,2268,11404.45,16618.333333333332,98,122
Films,Autumn in my Heart,1356,2621,5554,10141,87404.6,179036.46666666667,76,123
Films,The King 2 Hearts,1351,4748,4755,22972,122105.5,493111.13333333336,38,124
Films,Galih dan Ratna,1318,2528,1942,3558,32877.75,51811,81,128
Films,Find Me In Your Memory,1170,2282,2598,6410,51149.25,110327.25,90,141
Films,Well Intended Love 2,1103,4610,2694,9535,36100.5,99895.2,41,149
Films,Mariposa Official Trailer - Tayang 12 Maret 2020 Di Seluruh Bioskop,758,6905,870,7875,1072.75,8550.1333333333332,25,216
Films,Oh My Ghost,708,3780,2704,12854,68537.75,198052,52,228
Films,Gangaa,598,4645,2417,13693,35868.2,171482.75,39,256
Films,24hrs in Wuhan - Epicenter,494,7307,554,8071,4444.916666666667,41251.533333333333,23,306
Films,Mouse,0,46544,0,94757,0,1305861.1166666667,2,6537
Films,Sumpah Cinta Itu Gak Buta,0,31652,0,56953,0,1271031.6,3,6538
Films,"Supir Truk Sis, Semongko!",0,21952,0,37112,0,717210.08333333337,4,6539
Films,The Legends,0,19919,0,92660,0,1505690.6833333333,6,6540
Films,Definisi Trial Pacaran Bikin Insecure,0,16429,0,27978,0,577690.66666666663,8,6541
Films,Peninsula,0,11242,0,18746,0,426096.16666666669,11,6542
Films,Gagal Nikah Malah Dikira Orang Ketiga,0,10348,0,16957,0,395666.11666666664,12,6543
Films,Dua Garis Biru,0,9098,0,11337,0,10165.283333333333,14,6544
Films,Kupetik Cinta Penjual Bunga,0,7928,0,13362,0,279271.81666666665,21,6545
Films,Horror Delivery Service,0,7770,0,14943,0,42555.98333333333,22,6546
Films,Home Sweet Home,0,7294,0,7824,0,27851.316666666666,24,6547
Films,Yeojeong's Journey,0,5531,0,6756,0,10860.25,31,6548
Films,"Yuh Lihat keseruan MEET AND GREET SINETRON SCTV ALL STARS, Love Storie The Series, Buku Harian Seorang istri, Samudra Cinta, Dari Jendela Smp",0,5370,0,8044,0,1640,32,6549
Films,"Saksikan.. MEET AND GREET SINETRON SCTV ALL STARS, Love Storie The Series, Buku Harian Seorang Istri, Samudra Cinta, Dari Jendela Smp.",0,4948,0,7949,0,1777.5,36,6550
